,0,1,2,3,4,5,6,7,8,9
0,501.0,41.0,56.0,40.0,64.0,21.0,20.0,67.0,137.0,67.0
1,32.0,613.0,6.0,24.0,35.0,9.0,18.0,18.0,69.0,190.0
2,62.0,15.0,320.0,113.0,188.0,91.0,78.0,55.0,11.0,19.0
3,28.0,17.0,85.0,363.0,77.0,211.0,110.0,71.0,17.0,37.0
4,45.0,11.0,121.0,91.0,443.0,66.0,78.0,95.0,22.0,25.0
5,14.0,10.0,97.0,242.0,87.0,420.0,48.0,75.0,11.0,21.0
6,8.0,10.0,58.0,145.0,135.0,57.0,533.0,15.0,3.0,16.0
7,21.0,11.0,45.0,88.0,142.0,91.0,27.0,503.0,8.0,41.0
8,117.0,75.0,24.0,31.0,26.0,20.0,11.0,25.0,580.0,94.0
9,26.0,152.0,18.0,43.0,24.0,31.0,27.0,62.0,49.0,590.0
